/// Wait... Image compression... This may take a few minutes
67F2EC47|お待ち---画像圧縮とは---こに数分かかる場合があり
/// Wait... Parse assembly 
676EEA33|お待ち---解析の組立 
/// Parse - ok
8FD05778|解析-ok
/// Error on Parse assembly 
783216DC|誤差解析の組立 
///  No Internet connection!!!
A4472FF8| なインターネット接続す！！！
///  No Internet connection!!! 
BC0C3AEE| なインターネット接続す！！！ 
///                                       Exit new version\n
65C60228|出口より新しいバージョン\n
/// Waiting...  open unity GameDir..
4882047|待って---開放統一GameDirす。
/// Open unity GameDir - end
76D2CE09|開統一GameDir末
///                                       (binary shader)
9D41F04E|(バイナリーシェーダー)
///                                       ......\nShader trancated for DEMO VERSION, Real len: 
ECA96CA1|......\nシェーダー truncatedデモ版、len: 
/// // Not found assembly: 
4D34EB5B|//見つかりませんで組み立て: 
/// \n// This project used IL2CPP, assembly converted to native code.
7981C3BD|\n//このプロジェクトを使用IL2CPP、組み立てネイティブコードに変換されます。
/// //Not found assembly: 
C7E2652|//見つかりませんで組み立て: 
/// Save text
4EC4922D|テキスト保存
/// test
EAE38E77|試験
/// OK
CE0FB7E1|OK
///                                       Script decimpilation options
391D7F38|スクリプトdecimpilationオプション
///                                       Script decompilation
FCB4E352|スクリプトdecompilation
/// Disable decompilation
120E3FB8|Disable decompilation
///                                  JDecompiler
8AFC8F39|JDecompiler
///                                       Standart decompiler
EEA3A483|スタンダートdecompiler
/// Scene params
2A11D566|シーンparams
/// Make direct MeshAsset (else Mesh by .obj file)
E3E1083F|直接MeshAsset(他のメッシュによります。objファイル)
/// Make all GameObjects as Active (override)
33C19C13|すべてのGameObjectsとしての活動(オーバーライド)
/// C:\Program Files\Java\jdk1.8.0_65\bin\keytool.exe
EAAC6917|C:\Program Files\Java\jdk1.8.0_65\bin\keytool.exe
/// C:\Program Files\Java\jdk1.8.0_65\bin\jarsigner.exe
F9D86526|C:\Program Files\Java\jdk1.8.0_65\bin\jarsigner.exe
/// zipalign.exe
2C5C77ED|zipalign.exe
/// Keystore 
FFDFA781|キーストア 
/// Without signature (apk without signature - can not be installed on the device)
BA63D79B|な署名（apkな署名なし-取り付けができませんのデバイス)
/// Store password
B0EF04E6|ストアのパスワード
/// NDName
3B82BA7F|NDName
/// Key password
F15325AD|鍵のパスワード
/// Key alias
B2682AD4|キーエイリアス
/// Keystore file
101C8A80|キーストアファイル
/// Select custom key
C52368B|選択キーカスタム
/// Create temp key
276F9AC4|作温度キー
/// Paths
18D1C1FD|道
/// JDK installer link
293D5432|JDKインストーラーのリンク
/// zipalign path
20BAED5F|zipalignパス
/// jarsigner path
7119B2A9|jarsignerパス
/// keytool path
9A043CA4|keytoolパス
/// Make apk
87B277BA|作apk
///                                       APKSignDialog - required JDK
5168C80F|APKSignDialog必要であったJDK
///                                               Ver 
2FD97207| Ver. 
///  (Internal!)
3D13DA7E| (内部!)
///  (runtime 
14A073C4| (ランタイム 
///                                       The version is obsolete and you need to install a new version.
D9E34DAA|バージョンが廃止、インストールする必要があり新しいバージョンです。
///                                       Waiting... Check internet connection.. http://devxdevelopment.com...
59AA61CC|待ち合わせ---チェックインターネット接続す。http://devxdevelopment.com...
///  DEMO-CONSOLE!
304FB581| デモ-コンソールです！
/// Is Demo Version
6A0B8062|はデモ版
/// Project protected by
4F70EAA5|プロジェクトで保護され
/// Width: 
BF6DE30B|幅： 
/// , Height: 
C4DBC9EF| 高さ: 
/// , Format: 
72807AF3| は、フォーマット: 
/// , MipMapCount: 
681748FF| は、MipMapCount: 
/// \nStrings count: 
49BC9CCF|\n文字列を数： 
///                                       License for 'Unpacker tools' or 'RePacker Tools' or 'Unpacker Studio' not activated,\nThe image will be partially grounded on black squares!
