8279FB4C|End download
F09E7D13|End search
2E03BEB6|Search result count:
A4472FF8| No Internet connection!!!
676EEA33|Wait... Parse assembly 
8FD05778|Parse - ok
783216DC|Error on Parse assembly 
67F2EC47|Wait... Image compression... This may take a few minutes
7981C3BD|\n// This project used IL2CPP, assembly converted to native code.
A6669136|None
4EC4922D|Save text
A86F74B8|EditText
EAE38E77|test
E797FA33|toolStrip5
3158F06C|Save as txt
C17EBD68|Save as RTF
87DB2|Clear
1527D9A|Break
57E1EC0F|Debug log form
10630F7|Only available for DevX GameRecovery license type.
3E64DDA1|Asset settings
44D3354A|Memory limit (Mb):
55EFDF96|Ignore StreamingAssets directory
A10E5601|Ignore scenes
A199C855|Import bundle as Level
8AB7DCC5|Cache time in seconds:
D8F87912|Saving RAM (export slower)
12F151A6|Bundle auto extract
B4FA0730|Async make of Assets
4ED032E0|Async parse of Assets
2112BD71|Async parse of Bundle
63F8BA7A|Fast open (fast generate project)
B20B92C9|IL2CPP Script settings
6D77C25E|Restore only fields (for deserialization and minimize scripts errors)
814EE7D0|IL2CPP Restore Scripts Structure
DB9E7D17|IL2CPP to decompile into ARM ASM && C# (experemental, slow)
CE0FB7E1|OK
F5AF8D49|Show debug log
A40926D6|With debug windows
C4BFB9F4|.NET assembly script decompilation
4B8D3813|Decompiler type:
1FA80710|Path to executable file, parameters on run: "assembly_name.dll" -p -o "output_dir"
5DBA5417|Allow to de-obfuscate assembly
266F7C01|Disable auto-fix sources
6D8B26B7|Temp directory
B9CC2CB4|Disable сustom swap file (in file stream)
481459F7|With generate project
2A463756|With export resources
78640A1|Speed options
E7C89762|When you enable async options, it will be faster, but errors are possible!
A29EBB83|Additional Log
1D03716|This option enables automatic conversion of compiled shaders to Unity format (UnityLab)
B5ED1B5F|Allow restore shader as UnityLab format (for GameRecovery license type)
B1B5CF8F|ImportSettings
FD53173D|IL2CPP Restore Script settings
E46D9380|Enter text
EAAC6917|C:\Program Files\Java\jdk1.8.0_65\bin\keytool.exe
F9D86526|C:\Program Files\Java\jdk1.8.0_65\bin\jarsigner.exe
2C5C77ED|zipalign.exe
FFDFA781|Keystore 
BA63D79B|Without signature (apk without signature - can not be installed on the device)
B0EF04E6|Store password
3B82BA7F|NDName
F15325AD|Key password
B2682AD4|Key alias
101C8A80|Keystore file
C52368B|Select custom key
276F9AC4|Create temp key
18D1C1FD|Paths
293D5432|JDK installer link
20BAED5F|zipalign path
7119B2A9|jarsigner path
9A043CA4|keytool path
87B277BA|Make apk
7C411C18|APKSigner Dialog - required JDK
79A29A6|Begin search...
31D1912E|Find
E6849FA9|Filter (show/hide)
5CDB63A9|Filter
D9FB6EBB|Reference for asset
24CD7A4|Include Search in Scripts (c# script content)
CE06B7E7|ID
C4A54A6D|Asset class name
3BD1C9B|Name
