[POC] BODIES files=819 methods=4780 empty=1224 trivialStub=546 realBody=3010  live=62.97%
[POC] FILES-WITH-LIVE-CODE=370
   ObscuredPrefs.cs                               methods=74   live=74
   ExposedList.cs                                 methods=64   live=64
   DOTween.cs                                     methods=58   live=58
   ShortcutExtensions.cs                          methods=58   live=58
   TimeCheatingDetector.cs                        methods=49   live=45
   TweenManager.cs                                methods=43   live=43
   EaseManager.cs                                 methods=40   live=40
   WallHackDetector.cs                            methods=39   live=39
   ObscuredString.cs                              methods=42   live=39
   TweenExtensions.cs                             methods=39   live=39
   AnimationState.cs                              methods=36   live=36
   AtlasUtilities.cs                              methods=35   live=35
   LeanGameObjectPool.cs                          methods=35   live=35
   DummyClient.cs                                 methods=34   live=34
   SkeletonExtensions.cs                          methods=33   live=33
   ObscuredDouble.cs                              methods=36   live=33
   ObscuredFloat.cs                               methods=36   live=33
   ObscuredDecimal.cs                             methods=36   live=33
   SkeletonGraphic.cs                             methods=31   live=31
   ObscuredByte.cs                                methods=31   live=28
   Skeleton.cs                                    methods=27   live=27
   SkeletonUtility.cs                             methods=27   live=27
   GUIManager.cs                                  methods=26   live=26
   TweenSettingsExtensions.cs                     methods=26   live=26
   AdManager.cs                                   methods=25   live=25
   ObscuredUShort.cs                              methods=27   live=24
   ObscuredULong.cs                               methods=27   live=24
   ObscuredSByte.cs                               methods=27   live=24
   ObscuredInt.cs                                 methods=27   live=24
   ObscuredLong.cs                                methods=27   live=24
   ObscuredUInt.cs                                methods=27   live=24
   ObscuredShort.cs                               methods=27   live=24
   TweenParams.cs                                 methods=24   live=24
   Debugger.cs                                    methods=24   live=24
   SkeletonMecanim.cs                             methods=22   live=22
   ObscuredChar.cs                                methods=25   live=22
   SkeletonBinary.cs                              methods=20   live=20
   MeshGenerator.cs                               methods=20   live=20
   ObscuredBool.cs                                methods=23   live=20
   BannerClient.cs                                methods=18   live=18
[POC] BODIES files=63 methods=254 empty=8 trivialStub=2 realBody=244  live=96.06%
[POC] FILES-WITH-LIVE-CODE=36
   GUIManager.cs                                  methods=26   live=26
   AdManager.cs                                   methods=25   live=25
   GamePlayController.cs                          methods=16   live=15
   ResourcesUtil.cs                               methods=15   live=15
   TimeInGame.cs                                  methods=13   live=13
   CsvReader.cs                                   methods=13   live=13
   Box.cs                                         methods=11   live=11
   GameHelper.cs                                  methods=11   live=11
   DataController.cs                              methods=9    live=9
   Common.cs                                      methods=10   live=8
   RatingReviewManager.cs                         methods=8    live=8
   GameController.cs                              methods=7    live=7
   GraphicController.cs                           methods=7    live=7
   Extensions.cs                                  methods=6    live=6
   UtilityGame.cs                                 methods=7    live=6
   UserResourceItem.cs                            methods=6    live=6
   EventDispatcher.cs                             methods=6    live=6
   CSVSerializer.cs                               methods=5    live=5
   UserResourceCollectionItem.cs                  methods=5    live=5
   UserResourceInventory.cs                       methods=4    live=4
   RandNumber.cs                                  methods=4    live=4
   Imposter.cs                                    methods=4    live=4
   GDPR.cs                                        methods=4    live=4
   Extension.cs                                   methods=4    live=4
   Log.cs                                         methods=3    live=3
   GameManager.cs                                 methods=3    live=3
   EventDispatcherExtension.cs                    methods=3    live=3
   ItemStack.cs                                   methods=2    live=2
   ItemResources.cs                               methods=2    live=2
   SingletonMonoDontDestroy.cs                    methods=2    live=2
   ItemDistinc.cs                                 methods=2    live=2
   UserResource.cs                                methods=2    live=1
   Item.cs                                        methods=1    live=1
   SingletonMono.cs                               methods=2    live=1
   CSVHelper.cs                                   methods=1    live=1
   SerializableDictionary.cs                      methods=1    live=1
