RESOLVED	spine-unity	Spine.VertexAttachment	get_DeformAttachment	Spine.VertexAttachment	TypeAnalysisContext	38	0	THIS	CLASS_OBJECT_RELATIVE	Spine.VertexAttachment	deformAttachment	Spine.VertexAttachment	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	get_hasError	SharpJson.Lexer	TypeAnalysisContext	24	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	success	System.Boolean	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	get_lineNumber	SharpJson.Lexer	TypeAnalysisContext	10	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	<lineNumber>k__BackingField	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.ClippingAttachment	Copy	Spine.ClippingAttachment	TypeAnalysisContext	40	0	THIS	CLASS_OBJECT_RELATIVE	Spine.ClippingAttachment	endSlot	Spine.SlotData	INSTANCE	-	DIRECT
RESOLVED	spine-unity	SharpJson.Lexer	get_parseNumbersAsFloat	SharpJson.Lexer	TypeAnalysisContext	14	0	THIS	CLASS_OBJECT_RELATIVE	SharpJson.Lexer	<parseNumbersAsFloat>k__BackingField	System.Boolean	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.TrackEntry	add_Event	Spine.TrackEntry	TypeAnalysisContext	58	0	THIS	CLASS_OBJECT_RELATIVE	Spine.TrackEntry	Event	Spine.AnimationState+TrackEntryEventDelegate	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.ClippingAttachment	Copy	Spine.ClippingAttachment	TypeAnalysisContext	10	0	THIS	CLASS_OBJECT_RELATIVE	Spine.Attachment	<Name>k__BackingField	System.String	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_HullLength	Spine.MeshAttachment	TypeAnalysisContext	88	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	hulllength	System.Int32	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_RegionUVs	Spine.MeshAttachment	TypeAnalysisContext	68	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	regionUVs	System.Single[]	INSTANCE	-	DIRECT
RESOLVED	spine-unity	Spine.MeshAttachment	get_UVs	Spine.MeshAttachment	TypeAnalysisContext	60	0	THIS	CLASS_OBJECT_RELATIVE	Spine.MeshAttachment	uvs	System.Single[]	INSTANCE	-	DIRECT
