generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
base has no type, from Move from [Enumerator<T> + 0x0]	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	<untyped>			18	0	0	0	Move:memory	GENERIC_LAYOUT:instantiation	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	[v38 @ X9_v3+18]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
base has no type, from Move from [Enumerator<T> + 0x0]	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	<untyped>			10	0	0	0	Move:memory	GENERIC_LAYOUT:instantiation	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	[v38 @ X9_v3+10]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
base has no type, from Add of an untyped base and [Enumerator<T> + 0x8]	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	<untyped>			20	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	UNKNOWN	NO_OWNER	[v138 @ X8_v7+20]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	System.Collections.IEnumerator.get_Current	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	System.Collections.IEnumerator.get_Current	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
value type base	spine-unity	SharpJson.Lexer	ParseString	System.Int32	System.ValueType	TypeAnalysisContext	0	0	1	0	Add	MISSING_METADATA:inside-the-layout-between-fields	LAYOUT_KNOWN	1	10	NESTED:m_value	VALUE_RELATIVE	UNKNOWN	NOT_A_FIELD_ACCESS	[v127 @ X24_v4 (System.Int32)+v495 @ X9_v12 (System.Int32)]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	.ctor	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	[v69 @ X8_v18 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+B0]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	.ctor	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	[v69 @ X8_v18 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
Il2CppClass.interface_offsets_count	spine-unity	Spine.ExposedList`1	.ctor	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	12E	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	[v69 @ X8_v18 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+12E]
base has no type, from Add of an untyped local and Immediate	spine-unity	Spine.ExposedList`1	.ctor	<untyped>			FFFFFFFFFFFFFFF8	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	UNKNOWN	NO_OWNER	[v137 @ X10_v5-8]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	[v127 @ X0_v9 (System.Array)+18]
past the last field of the base type	spine-unity	Spine.MeshAttachment	Copy	System.Array	System.Object	TypeAnalysisContext	18	0	0	0	Move:field Single[]	NO_KNOWN_LAYOUT:type-has-no-instance-fields	NO_INSTANCE_FIELDS	0	0	BEYOND_LAYOUT	CLASS_OBJECT_RELATIVE	INSTANCE_FIELD	SEARCH_EMPTY	[v128 @ X0_v12 (System.Array)+18]
