generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	-	CheckGreaterOrEqual[1]:LocalVariable,MemoryOperand	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
base has no type, from Move from [Enumerator<T> + 0x0]	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	<untyped>			18	0	0	0	Move:memory	GENERIC_LAYOUT:instantiation	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	CheckGreaterOrEqual[2]:LocalVariable,MemoryOperand	[v38 @ X9_v3+18]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	-	CheckGreaterOrEqual[1]:LocalVariable,MemoryOperand	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
base has no type, from Move from [Enumerator<T> + 0x0]	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	<untyped>			10	0	0	0	Move:memory	GENERIC_LAYOUT:instantiation	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Add[1]:LocalVariable,MemoryOperand	[v38 @ X9_v3+10]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	-	CheckGreaterOrEqual[1]:LocalVariable,MemoryOperand	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
base has no type, from Add of an untyped base and [Enumerator<T> + 0x8]	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	<untyped>			20	0	0	0	Add	UNKNOWN:add-of-MemoryOperand	NO_BASE_TYPE	0	0	-	NOT_APPLICABLE	LOADED_POINTER	NO_OWNER	-	Move[1]:FieldReference	[v138 @ X8_v7+20]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	MoveNext	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	-	CheckGreaterOrEqual[1]:LocalVariable,MemoryOperand	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	System.Collections.IEnumerator.get_Current	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	-	Move[1]:LocalVariable	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
generic instance, reference arguments	spine-unity	Spine.ExposedList`1+Enumerator	System.Collections.IEnumerator.get_Current	Spine.ExposedList`1<T>+Enumerator<T>	System.ValueType	GenericInstanceTypeAnalysisContext	8	0	0	0	<none>	GENERIC_LAYOUT:instantiation	LAYOUT_KNOWN	4	20	INSIDE_NO_FIELD	NEITHER	THIS	SEARCH_EMPTY	-	Move[1]:LocalVariable	[this @ X0 (Spine.ExposedList`1<T>+Enumerator<T>)+8]
Il2CppClass.interfaceOffsets	spine-unity	Spine.ExposedList`1	.ctor	Il2CppClass<System.Collections.Generic.ICollection`1<T>>		RuntimeClassTypeAnalysisContext	B0	0	0	0	Move:memory	RUNTIME_STRUCT:RuntimeClassTypeAnalysisContext	RUNTIME_STRUCT	0	0	-	NOT_APPLICABLE	RUNTIME_STRUCTURE	SEARCH_EMPTY	Il2CppClass.interfaceOffsets	Add[1]:LocalVariable,0x8	[v69 @ X8_v18 (Il2CppClass<System.Collections.Generic.ICollection`1<T>>)+B0]
